"name","parentPath","size","createTime","modifyTime","classifications","deletedAt","dupKey","isDeleted","metadataObject"
"OneDrive","/Ohio/GRU-WS/Microsoft/","","","","","","",0,"[object Object]"
"Outlook","/Ohio/GRU-WS/Microsoft/","","","","","","",0,"[object Object]"
"SharePoint","/Ohio/GRU-WS/Microsoft/","","","","","","",0,"[object Object]"
"60919.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",1182,"2024/11/18 14:39:02","2024/11/18 14:39:02","Unclassified:100","","1659591730298eda6054e8af357e838ba727ac64dd475bf579bdcbd91f8a3f3f97afe85fbc3c26b4d672a0d50c21e14457a0cd182b840b09f0d859d38aa1405c",0,"[object Object]"
"61209.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",4650,"2024/11/18 14:38:14","2024/11/18 14:38:14","Unclassified:100","","d8ec299afda05de948d778341a30cd5441ae0e2aa75214e4cb2db335d51e3b3fdb8bde12035888df05c226695a38ad35fa57b215101268506b9d6ed79330d0ff",0,"[object Object]"
"16040.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",1716,"2024/11/18 14:37:29","2024/11/18 14:37:29","Unclassified:100","","eadfa12485bcd214ee88ba836ca7ea41c12a4039c1e48dfc2eb9b3b7b20669ab26812b87f4f8c315448d3f5795c87e94ab235bc45c0b1296e9771604fce5ff95",0,"[object Object]"
"16081.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",1004,"2024/11/18 14:38:15","2024/11/18 14:38:15","Unclassified:100","","420a769e400a5f789a2751de7f99d292dc8afcc9f50f0e0860e826621dd83f72ff7c2963ae8f44f1a5b3cb9554efa52cd7a405c775026405348ba0218b833697",0,"[object Object]"
"54329.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",384,"2024/11/18 14:38:30","2024/11/18 14:38:30","Unclassified:100","","3013fe4826c0b64cf8e77df789752db9a8a65eb7b351b30bdc74204c2419a2f04498bec2e1bc117b4fc7fb00c3bec2f1e07edef7abaac1fb792e3f2a642d3f1c",0,"[object Object]"
"60852.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",683,"2024/11/18 14:38:33","2024/11/18 14:38:33","Unclassified:100","","ff3512f9e0bc6aa87add96b8790110c4f7bd83e4a04bae1d7d3ff847d5d8f7eb3396184da4bf68e611ab6beec54562582f7a8237c41f00c47ec2aa5b7430f279",0,"[object Object]"
"15603.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",3691,"2024/11/18 14:37:10","2024/11/18 14:37:10","Unclassified:100","","5145f14fec862776464115f97ff7be67898e2a23d7533231db80282ddb7128f25a546763d2d04dc7a7c80ed486b1ae136329bbaf8c4a0f700800705304f85d22",0,"[object Object]"
"15770.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",782,"2024/11/18 14:38:40","2024/11/18 14:38:40","Unclassified:100","","0de2dd6e2255669f752a011adfee4d490e48a577839b902a03af6dafd208d399087d816c7cd4bb0de344e18cfa3667fb72dff084c67f37feeef142c9d3375623",0,"[object Object]"
"52770.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",298,"2024/11/18 14:38:29","2024/11/18 14:38:29","Unclassified:100","","5b953dd35ddc4c74aae103fde2375e552bdce175e50e68a0eaa5a19634235cece84a8560a0ed1a49b500b3b6a8be0cc187fdb3303f7ce375aaafaa22aad04530",0,"[object Object]"
"58936.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",477,"2024/11/18 14:38:27","2024/11/18 14:38:27","Unclassified:100","","0965195384a59a467fa0f2b0ddfe02066b5dfa87a26dc5cc18ae4497080b9c1e2ca5ded4f86dfc87d03ebd4e9273fc2e5c8dbacc746207f7109e8e5bfd241987",0,"[object Object]"
"61197.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",948,"2024/11/18 14:37:53","2024/11/18 14:37:53","Unclassified:100","","d366560e8773d8a667e2da8100e475be0781db3ea25387504e32a9eec8eaa2227748d7ba8946a796a71e772365d421dbf3d65b7bb55ab58a126aace449d50d7b",0,"[object Object]"
"61183.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",363,"2024/11/18 14:37:53","2024/11/18 14:37:53","Unclassified:100","","45e5225aff24db61417ebf7c6f78468ad189d46d8a86ffcec99e05ca1cf94dfcbbd04135f8f7494ea4e96e68a3bf994cb831a5c69bc76f1a8a1ef226a56dfc9c",0,"[object Object]"
"53681.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",731,"2024/11/18 14:37:18","2024/11/18 14:37:18","Unclassified:100","","0c009d4b78e0cebdf0eff3f70f6fcb7f347610fd7885af5b2767642ddd8efcc613e0029515981720c0cd048baa3fd4d065384a47720955783e1bfb6cc0f2cc88",0,"[object Object]"
"59037.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",842,"2024/11/18 14:38:33","2024/11/18 14:38:33","Unclassified:100","","7d932df4fe2a361713fd04fd5b2bd372a443db1ab91d24bcd114a19fd3179a41a4ecaf9b829da41674f87969ea8ebf7f38d483ebe1a542360c68070025f2aac5",0,"[object Object]"
"53690.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",1345,"2024/11/18 14:39:01","2024/11/18 14:39:01","Unclassified:100","","322d0edb16fa57ebfef206a42874f029d86472280ea509c1138db3fd55479113e5f3d03f6bd00a344252f924f897f0d0a1869269e3d1fbabda3a5d5afd347124",0,"[object Object]"
"59341.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",1278,"2024/11/18 14:38:26","2024/11/18 14:38:26","Unclassified:100","","671a4fb7532ce77144f0ff31bd2dc2a8aff1d2813cef1c450f13a4f283136e355d619ce34b8b105626c76ad64a1e115755eb2af4bd4b46a95cd7d225703f49c9",0,"[object Object]"
"53641.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",656,"2024/11/18 14:37:54","2024/11/18 14:37:54","Unclassified:100","","a6fbb161cad103d24d9765874cdcaa2368e76f52d5b7304720d47a3a9d76b1fbf8d6091011b150e5ea7d7e8004443c9614e975b71f113f2708f1b1902b16c33d",0,"[object Object]"
"54111.txt","/Ohio/GRU-WS/Microsoft/OneDrive/matt@nowakelabs.com/MyDocs/Text/Data/Science/",193,"2024/11/18 14:37:15","2024/11/18 14:37:15","Unclassified:100","","4d7723d20eaf193f9ee87bea86fc824326ef0b2887f7cedec5639f69f51c3a39b58f30feabd7bd8fedbdd4d6703a925b5d7f41e374644891b705edc090570715",0,"[object Object]"
