"Subfolder","Size","Count"
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/CodeOfConduct/",161740479,44
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessTaxes/",134797930,26
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/EmployeeHandbook/",123468471,43
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessBudget/",117406484,56
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/PersonalTaxes/",115334990,21
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/OperatingAgreement/",100601059,12
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessBalanceSheet/",70201066,28
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessIncomeStatement/",66483505,20
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessCashFlowStatement/",53863453,20
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/Recruitment/",52379019,26
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/PartnershipAgreement/",48361692,10
"/Ohio/GRU-WS/File System/D:/data/DriveD/Dup/",44811551,16
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/MOU/",41926766,13
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/Benefits/",39434791,19
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/MissionVisionAndStrategy/",35817782,19
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/Apostille/",28496190,12
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Healthcare/PreoperativeChecklist/",28262382,20
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/SalaryStructure/",26952098,35
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/Settlement/",25475076,17
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessShareholderEquity/",23947446,18
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/Will/",22435367,15
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/Onboarding/",19996374,24
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/Contract/",19174595,13
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Finance/BusinessPlan/",18956449,17
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/WorkplaceSafety/",17975841,11
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/Telecommuting/",17135041,39
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/ShareholderAgreement/",16755015,14
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/Statutory/",16675825,30
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Healthcare/EvidenceOfCoverage/",16131051,14
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/ConfidentialityAgreement/",14252178,20
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/IndemnityAgreement/",13842463,23
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/LiabilityWaiver/",13422932,16
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/NonCompeteAgreement/",12914125,12
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/WorkersCompensation/",12888447,17
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/RecordsManagement/",12278372,18
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/DurablePowerOfAttorney/",12268570,11
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Healthcare/DurablePowerOfAttorney/",12262422,10
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/LeaseAgreement/",10278757,11
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/JobReferral/",10219069,24
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Healthcare/SummaryOfBenefits/",10108671,16
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/DressCode/",10054322,19
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/Bylaws/",9399640,16
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/OfferLetter/",9124222,16
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/MSA/",8829882,18
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Healthcare/MedicalHistoryRecord/",8474655,18
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/Timesheet/",7879213,37
"/Ohio/GRU-WS/Shares/10.1.10.163/data/DriveX/Text/Data/Politics/",7765932,3001
"/Ohio/GRU-WS/File System/D:/data/DriveX/Text/Data/Politics/",7765932,3001
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/SOW/",7470932,16
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/Legal/DataPrivacy/",7391624,19
"/Ohio/GRU-WS/File System/D:/data/DriveD/MyOwnKeyData/Project Data/HR/DataPrivacy/",7391624,19
